Customer ID|Name|Email|Product Purchased|Purchase Date|Amount Spent ($)|Age|City|Payment Method|Last Login Date|Membership Status
TG-0001|Paula López|paula.lopez1@mailinator.com|Wireless Earbuds Air|2024-01-26|627.32|33|Medellín|Credit Card|2026-02-23|Silver
TG-0002|Santiago García|santiago.garcia2@mailinator.com|Laptop Pro X1|2024-04-05|1273.27|30|Santiago|Debit Card|2024-11-14|Gold
TG-0003|Victoria Vargas|victoria.vargas3@mailinator.com|Laptop Pro X1|2025-03-05|1481.37|44|Cali|Bank Transfer|2025-06-25|Bronze
TG-0004|Isabella González|isabella.gonzalez4@mailinator.com|Smartphone Ultra 5G|2026-02-20|250.0|22|Ciudad de México|PayPal|2026-05-17|Silver
TG-0005|David Rodríguez|david.rodriguez5@mailinator.com|Mechanical Keyboard RGB|2026-01-17|329.56|50|Medellín|PayPal|2026-05-14|Gold
TG-0006|Samuel Rivera|samuel.rivera6@mailinator.com|VR Headset Vision|2025-08-14|192.49|61|Cúcuta|PayPal|2025-11-20|Platinum
TG-0007|Joaquín Sánchez|joaquin.sanchez7@mailinator.com|VR Headset Vision|2026-06-06|709.36|40|Ciudad de México|Debit Card|2026-06-12|Bronze
TG-0008|Sofía Ramírez|sofia.ramirez8@mailinator.com|VR Headset Vision|2025-12-19|197.07|57|Cali|Debit Card|2026-06-11|Bronze
TG-0009|Luciana Ramírez|luciana.ramirez9@mailinator.com|Laptop Pro X1|2025-10-17|824.21|59|Cúcuta|Credit Card|2026-02-06|Gold
TG-0010|Luciana Ramírez|luciana.ramirez10@mailinator.com|Monitor 4K UltraView|2024-03-08|2193.38|52|Cúcuta|Bank Transfer|2024-10-10|Bronze
TG-0011|Felipe Castro|felipe.castro11@mailinator.com|Tablet Air 11|2024-05-26|631.63|24|Santiago|PayPal|2025-02-21|Gold
TG-0012|Diego Suárez|diego.suarez12@mailinator.com|Wireless Earbuds Air|2025-02-12|2493.36|30|Santiago|Bank Transfer|2026-02-17|Bronze
TG-0013|Santiago López|santiago.lopez13@mailinator.com|Mechanical Keyboard RGB|2024-06-05|1984.35|26|Quito|Credit Card|2026-03-09|Bronze
TG-0014|Samuel Castro|samuel.castro14@mailinator.com|Laptop Pro X1|2025-06-25|2154.72|51|Medellín|PayPal|2025-10-31|Gold
TG-0015|Daniela López|daniela.lopez15@mailinator.com|Power Bank Max 20K|2024-10-27|1145.22|26|Barranquilla|Debit Card|2026-01-15|Silver
TG-0016|Mateo Torres|mateo.torres16@mailinator.com|Monitor 4K UltraView|2026-05-11|513.29|54|Cali|Credit Card|2026-07-14|Silver
TG-0017|Alejandro García|alejandro.garcia17@mailinator.com|Gaming Console Nova|2024-04-24|2463.59|72|Cúcuta|Credit Card|2025-04-30|Bronze
TG-0018|Antonia Martínez|antonia.martinez18@mailinator.com|Tablet Air 11|2024-03-28|2043.73|47|Cali|Debit Card|2026-04-16|Silver
TG-0019|Emiliano Pérez|emiliano.perez19@mailinator.com|Smart Watch Fit|2024-09-28|1524.34|71|Santiago|Debit Card|2026-03-22|Gold
TG-0020|Luciana Rivera|luciana.rivera20@mailinator.com|Smart Watch Fit|2025-03-24|1139.68|49|Cúcuta|Credit Card|2026-06-27|Bronze
TG-0021|Antonia Vargas|antonia.vargas21@mailinator.com|Power Bank Max 20K|2024-08-23|37.82|30|Bogotá|Debit Card|2026-04-17|Bronze
TG-0022|Santiago Flores|santiago.flores22@mailinator.com|Bluetooth Speaker Boom|2024-03-13|710.61|31|Cúcuta|Debit Card|2025-08-21|Gold
TG-0023|Ximena Suárez|ximena.suarez23@mailinator.com|Mechanical Keyboard RGB|2025-08-13|1965.85|31|Cúcuta|Credit Card|2026-04-12|Bronze
TG-0024|Diego Rivera|diego.rivera24@mailinator.com|Laptop Pro X1|2025-03-09|2162.31|45|Medellín|Credit Card|2025-10-05|Silver
TG-0025|Daniela López|daniela.lopez25@mailinator.com|Wireless Earbuds Air|2024-09-11|1349.98|28|Buenos Aires|Debit Card|2025-03-26|Bronze
TG-0026|Nicolás Martínez|nicolas.martinez26@mailinator.com|Smartphone Ultra 5G|2025-03-29|2142.79|71|Bogotá|Credit Card|2026-05-16|Platinum
TG-0027|Felipe Sánchez|felipe.sanchez27@mailinator.com|Mechanical Keyboard RGB|2024-06-19|1213.76|47|Bogotá|Debit Card|2025-08-09|Bronze
TG-0028|Luciana Ramírez|luciana.ramirez28@mailinator.com|Power Bank Max 20K|2026-03-13|727.41|45|Santiago|Bank Transfer|2026-06-21|Bronze
TG-0029|Andrés González|andres.gonzalez29@mailinator.com|Power Bank Max 20K|2024-02-29|1364.63|63|Ciudad de México|Credit Card|2025-10-14|Bronze
TG-0030|Alejandro Ortiz|alejandro.ortiz30@mailinator.com|Tablet Air 11|2026-05-23|161.05|26|Medellín|Debit Card|2026-06-25|Bronze
TG-0031|Valentina Sánchez|valentina.sanchez31@mailinator.com|Drone Explorer Mini|2025-02-17|1432.79|72|Quito|Credit Card|2025-06-19|Silver
TG-0032|Diego Suárez|diego.suarez32@mailinator.com|Smart Watch Fit|2025-08-01|2338.06|36|Ciudad de México|Debit Card|2026-04-25|Bronze
TG-0033|Isabella Torres|isabella.torres33@mailinator.com|Laptop Pro X1|2025-04-13|2340.61|64|Lima|Credit Card|2025-09-21|Bronze
TG-0034|Sofía Ortiz|sofia.ortiz34@mailinator.com|Smart Watch Fit|2024-09-28|2204.53|38|Ciudad de México|PayPal|2025-02-10|Bronze
TG-0035|Regina Vargas|regina.vargas35@mailinator.com|VR Headset Vision|2025-12-21|2459.95|55|Santiago|Credit Card|2026-03-08|Silver
TG-0036|Emiliano Torres|emiliano.torres36@mailinator.com|Smartphone Ultra 5G|2025-11-10|353.03|72|Medellín|Debit Card|2025-12-06|Bronze
TG-0037|Samuel González|samuel.gonzalez37@mailinator.com|Gaming Console Nova|2026-01-04|1724.98|29|Santiago|Bank Transfer|2026-04-01|Bronze
TG-0038|Felipe Rodríguez|felipe.rodriguez38@mailinator.com|Laptop Pro X1|2024-04-04|2076.77|43|Bogotá|PayPal|2026-01-13|Gold
TG-0039|Paula Ramírez|paula.ramirez39@mailinator.com|Mechanical Keyboard RGB|2024-06-14|1388.16|44|Santiago|Credit Card|2026-07-13|Bronze
TG-0040|Ximena Hernández|ximena.hernandez40@mailinator.com|Tablet Air 11|2025-07-12|935.65|69|Cali|Bank Transfer|2025-07-30|Bronze
